clu_id,TRT,PPVT_FallK,ETW_SpringK
1,1,88,15
1,1,81,9
1,1,84,15
1,0,83,3
1,0,83,2
1,0,78,8
2,1,71,7
2,0,87,18
2,0,85,4
2,1,90,10
2,0,75,2
2,0,90,28
2,1,83,8
3,0,89,23
3,1,90,19
3,0,81,0
3,1,87,26
3,1,88,10
3,1,76,12
4,1,84,9
4,1,74,2
4,0,73,3
4,0,85,4
4,1,88,16
4,1,89,20
4,0,86,3
5,1,77,8
5,0,76,6
5,0,79,3
5,1,78,2
5,1,91,20
5,0,82,5
6,1,85,19
6,0,89,27
6,1,87,20
6,0,81,15
6,0,90,25
6,1,88,33
7,0,84,7
7,1,89,9
7,1,82,4
7,0,74,5
7,1,81,5
7,1,80,0
7,0,90,10
7,0,88,8
8,1,90,14
8,1,83,24
8,0,88,5
8,0,78,2
8,0,79,9
8,1,89,8
9,0,83,5
9,1,77,19
9,0,80,2
9,0,85,7
9,1,83,5
10,0,85,0
10,0,91,0
10,1,81,1
10,0,71,0
10,1,74,0
10,0,86,4
10,1,88,8
11,0,79,4
11,0,88,7
11,1,79,11
11,0,79,15
11,1,85,13
11,0,82,10
11,0,88,5
11,1,77,7
11,1,88,33
12,1,85,11
12,0,84,4
12,0,88,5
12,1,81,2
12,1,80,2
12,0,82,2
12,1,83,0
12,0,76,0
13,0,77,2
13,0,79,10
13,1,75,2
13,0,84,3
13,1,80,2
14,1,88,0
14,0,79,2
14,0,82,0
14,0,78,0
14,1,80,3
14,0,87,2
14,1,81,4
14,1,74,2
15,1,77,15
15,0,91,10
15,1,92,12
15,0,74,4
15,1,84,15
16,0,87,23
16,1,86,28
16,0,82,2
16,0,80,21
16,1,75,28
16,1,90,38
17,0,86,0
17,1,81,13
17,1,85,18
17,1,76,25
17,0,72,6
17,1,82,17
17,0,82,15
17,0,83,4
18,1,78,16
18,1,88,17
18,1,86,16
18,0,85,2
18,0,88,3
18,1,77,3
18,0,76,5
19,0,88,4
19,1,87,12
19,0,83,4
19,1,71,5
19,0,78,0
19,0,75,6
20,0,88,11
20,1,78,9
20,1,75,4
20,1,87,30
20,0,72,11
21,0,72,2
21,1,84,8
21,0,83,3
21,1,88,13
21,0,87,1
21,1,73,4
21,0,79,0
21,1,75,17
22,1,82,10
22,0,75,1
22,1,76,16
22,0,85,0
22,1,86,17
22,0,85,2
22,1,73,3
22,0,76,5
23,0,77,13
23,0,78,7
23,0,88,11
23,1,82,15
23,1,76,33
23,0,85,20
23,1,89,32
23,1,83,30
24,0,87,19
24,1,80,11
24,0,71,10
24,1,76,19
24,1,87,38
24,0,86,21
24,1,80,31
25,0,82,6
25,0,81,5
25,1,89,16
25,1,70,0
25,0,78,3
25,0,85,2
26,1,77,10
26,0,85,1
26,1,88,12
26,0,80,2
26,1,83,13
26,0,82,12
27,1,86,6
27,0,88,12
27,0,78,10
27,0,87,9
27,0,82,6
27,1,85,3
27,1,88,13
28,0,88,29
28,0,88,17
28,1,80,12
28,0,87,15
28,0,89,14
29,0,75,14
29,1,80,4
29,0,90,7
29,1,81,6
29,1,83,15
29,1,86,10
29,0,84,2
29,0,89,15
30,0,88,13
30,0,92,18
30,0,90,16
30,1,91,9
30,1,84,12
30,1,81,37
30,0,80,3
31,1,88,29
31,1,87,39
31,1,78,16
31,0,87,4
31,0,82,6
31,0,83,6
32,1,92,27
32,0,88,6
32,0,76,18
32,1,88,19
32,0,85,10
32,0,86,13
32,1,76,15
32,0,91,12
33,1,88,11
33,0,90,39
33,1,92,25
33,0,87,12
33,0,92,28
33,1,82,2
34,0,93,25
34,1,88,52
34,0,89,12
34,1,90,41
34,1,93,52
35,0,82,12
35,1,77,39
35,1,83,49
35,1,88,47
35,0,83,6
36,1,88,49
36,1,85,30
36,0,93,14
36,0,81,4
36,1,92,48
36,1,87,46
37,0,80,2
37,1,81,48
37,1,87,31
37,1,92,42
37,0,80,15
37,0,85,0
37,0,93,3
37,1,87,42
38,0,83,13
38,0,93,6
38,1,88,27
38,0,92,12
38,1,93,45
38,1,93,26
39,1,90,19
39,0,93,4
39,1,93,10
39,1,82,9
40,0,92,12
40,0,81,2
